id,name,logo_image,name_kana,address,station_name,ktai_coupon,large_service_area_code,large_service_area_name,service_area_code,service_area_name,large_area_code,large_area_name,middle_area_code,middle_area_name,small_area_code,small_area_name,lat,lng,genre_code,genre_name,genre_catch,sub_genre_code,sub_genre_name,budget_code,budget_name,budget_average,budget_memo,catch,capacity,access,mobile_access,urls_pc,photo_pc_l,photo_pc_m,photo_pc_s,photo_mobile_l,photo_mobile_s,open,close,party_capacity,wifi,wedding,course,free_drink,free_food,private_room,horigotatsu,tatami,card,non_smoking,charter,ktai,parking,barrier_free,other_memo,sommelier,open_air,show,equipment,karaoke,band,tv,english,pet,child,lunch,midnight,shop_detail_memo,coupon_urls_pc,coupon_urls_sp,search_keyword
TempShop_11,中国料理レストラン 藤田,,ちゅうごくりょうりれすとらん ふじた,大阪府大阪市北区角田町８−２１,大阪,0,SS20,関西,SA23,大阪,Z023,大阪,Y300,梅田,XEI2,茶屋町・中崎町・中津,34.7034062631,135.5001874693,G007,中華,昔ながらの中華料理 (架空のお店です。実在しません。),G007,中華,B001,1501～2000円,昼700円／夜1500円,,入りやすいテーブル席 一押し★餃子入りラーメン,26,地下鉄御堂筋線梅田駅・阪急梅田駅・JR大阪駅より徒歩3分  ,地下鉄梅田駅・阪急梅田駅・JR大阪駅より徒歩3分  ,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_11.jpeg,,月～水、金～日、祝日、祝前日: 11:00～14:0017:00～21:00 （料理L.O. 20:30）,木,28,なし,応相談,なし,なし,なし,なし ：4～30名までご利用可能です。お気軽にお問い合わせください。,なし,なし,利用不可,全面禁煙,貸切不可,,なし ：近隣のコインパーキングをご利用ください。,なし ：お困りごとがございましたらスタッフまでお声がけください。,,,,なし,,なし,不可,なし,なし,不可,お子様連れ歓迎,あり,営業していない,,,,中国料理レストラン 藤田ちゅうごくりょうりれすとらん ふじたチュウゴクリョウリレストラン フジタ大阪府大阪市北区角田町８−２１大阪梅田昔ながらの中華料理 (架空のお店です。実在しません。)中華
TempShop_12,中華バル 河野,,ちゅうかばる こうの,大阪府豊中市本町３−２４−４−B２０１,豊中,0,SS20,関西,SA23,大阪,Z023,大阪,Y360,江坂・西中島・新大阪・十三,XEJY,豊中,34.7899046987,135.4619003992,G013,ラーメン,ラーメン(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,昼700円／夜1000円,,明るい店内 1人でも入りやすい,10,阪急「豊中駅」南改札口から徒歩5分。系列店舗「北のしゃぶしゃぶ」の隣♪,阪急「豊中駅」南改札口から徒歩5分♪,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_12.jpeg,,月～日、祝日、祝前日: 11:45～14:3017:30～翌0:15,元旦はランチのみお休みとなります。,,なし,応相談,なし,なし,なし,なし,なし,なし,利用不可,禁煙席なし,貸切不可,,なし ：目の前にコインPあり★,なし,,,,なし,,なし,不可,あり,なし,不可,お子様連れ歓迎,あり,営業している,,,,中華バル 河野ちゅうかばる こうのチュウカバル コウノ大阪府豊中市本町３−２４−４−B２０１豊中江坂・西中島・新大阪・十三ラーメン(架空のお店です。実在しません。)ラーメン
TempShop_13,中華 久保,,ちゅうか くぼ,大阪府大阪市北区曾根崎新地２−６−１,北新地,1,SS20,関西,SA23,大阪,Z023,大阪,Y300,梅田,X305,北新地,34.6978037716,135.4970182152,G007,中華,中華料理(架空のお店です。実在しません。),G013,ラーメン,B001,1501～2000円,昼630円／夜700円,,4人掛けのテーブル席 奥側はシート席で快適！,134,ＪＲ東西線 北新地駅 徒歩1分地下鉄四つ橋線 西梅田駅 徒歩4分阪神本線 梅田駅 徒歩6分,北新地駅 徒歩1分/西梅田駅 徒歩4分/ 梅田駅 徒歩6分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_13.jpeg,,月～日、祝日、祝前日: 11:30～14:30 （料理L.O. 14:30）17:30～21:30 （料理L.O. 21:30）,なし,134,あり,応相談,あり,なし ：コースに+1500円で飲み放題が付けられます。,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,なし ：お近くの駐車場をご利用ください,なし ：5Fまではエレベータがございます,,,,なし,,なし,不可,なし,なし,不可,お子様連れ歓迎,あり,営業していない,,,,中華 久保ちゅうか くぼチュウカ クボ大阪府大阪市北区曾根崎新地２−６−１北新地梅田中華料理(架空のお店です。実在しません。)中華
TempShop_14,酒家 田中,,しゅか たなか,大阪府大阪市東住吉区針中野３−２１−１２,針中野,1,SS20,関西,SA23,大阪,Z023,大阪,Y327,針中野・長居・西田辺・西成区・住吉,XEL3,針中野,34.6169200288,135.5382231679,G013,ラーメン,中華そば(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,800円,,【飲み会の〆にオススメ】 【醤油ダレ×豚ガラ】,10,近鉄針中野駅より東500m 市バス「湯里二丁目」そば,近鉄針中野駅より東500m 市バス「湯里二丁目」そば,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_14.jpeg,,月～土、祝前日: 20:00～翌2:00,日、祝日,,なし,,なし,なし,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,あり,なし,,,,なし,,なし,不可,なし,なし,不可,お子様連れOK,なし,営業している,,,,酒家 田中しゅか たなかシュカ タナカ大阪府大阪市東住吉区針中野３−２１−１２針中野針中野・長居・西田辺・西成区・住吉中華そば(架空のお店です。実在しません。)ラーメン
TempShop_15,中華厨房 金子,,ちゅうかちゅうぼう かねこ,大阪府吹田市津雲台７−５５−２１,山田,1,SS20,関西,SA23,大阪,Z023,大阪,Y360,江坂・西中島・新大阪・十三,XEK8,吹田市その他,34.8057130798,135.505749339,G007,中華,中華　餃子(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,昼900円／夜1100円,,カウンター席でのんびり 子ども用の椅子あり,52,大阪モノレール/阪急山田駅より西600m 阪急バス「千里営業所前」より北80ｍ, 阪急バス「千里営業所前」より北80m,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_15.jpeg,,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,１月１日のみ,50,あり,,なし,なし,あり,なし,なし,なし,利用不可,全面禁煙,貸切不可,,あり,なし,カウンター席,,,なし,,なし,不可,なし,なし,不可,お子様連れ歓迎,あり,営業している,,,,中華厨房 金子ちゅうかちゅうぼう かねこチュウカチュウボウ カネコ大阪府吹田市津雲台７−５５−２１山田江坂・西中島・新大阪・十三中華　餃子(架空のお店です。実在しません。)中華
TempShop_16,チャイニーズレストラン 近藤,,ちゃいにーずれすとらん こんどう,大阪府大阪市港区築港３−１−３,大阪港,1,SS20,関西,SA23,大阪,Z023,大阪,Y866,九条・西九条・弁天町・大正・住之江,XEKN,天保山,34.6540980855,135.4324089773,G007,中華,中華料理(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,昼750円／夜1000円,,ボリューム満点 メニューが豊富,30,大阪メトロ中央線大阪港駅１出口より徒歩約2分,大阪メトロ中央線大阪港駅1出口より徒歩約2分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_16.jpeg,,月～日、祝日、祝前日: 11:00～14:3017:00～23:30,年中無休,36,なし,,あり,あり,なし,なし,なし,なし,利用不可,一部禁煙,貸切不可 ：応相談,,あり ：無料２台、近隣に提携コインパークあり,なし ：車椅子のまま着席可,カウンター席あり,,,なし,,なし,不可,なし,なし,不可,お子様連れ歓迎,あり,営業していない,,,,チャイニーズレストラン 近藤ちゃいにーずれすとらん こんどうチャイニーズレストラン コンドウ大阪府大阪市港区築港３−１−３大阪港九条・西九条・弁天町・大正・住之江中華料理(架空のお店です。実在しません。)中華
TempShop_17,中国料理 内田,,ちゅうごくろうり うちだ,大阪府高槻市城北町１−２３−１３,高槻市,0,SS20,関西,SA23,大阪,Z023,大阪,Y355,高槻,X411,高槻駅,34.8479645807,135.6220996139,G007,中華,中華レストラン(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,800円(通常平均) ,お通し代：なし,こだわり餃子220円(税抜) 名物！焼めし400円(税抜),100,阪急京都本線高槻市駅７出口より徒歩約4分/ＪＲ東海道本線高槻駅南口より徒歩約12分,阪急京都本線高槻市駅7出口より徒歩約4分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_17.jpeg,,月～日、祝日、祝前日: 11:15～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,なし,,なし,,なし,なし,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,なし ：近隣に有料P有,あり,,,,なし,,なし,不可,なし,なし,不可,お子様連れOK,あり,営業していない,,,,中国料理 内田ちゅうごくろうり うちだチュウゴクロウリ ウチダ大阪府高槻市城北町１−２３−１３高槻市高槻中華レストラン(架空のお店です。実在しません。)中華
TempShop_18,中国料理レストラン 柴田,,ちゅうごくりょうりれすとらん しばた,大阪府大阪市福島区福島７−２−２,福島,0,SS20,関西,SA23,大阪,Z023,大阪,Y301,福島・野田,X325,福島・新福島,34.6957370379,135.4839355452,G013,ラーメン,中華(架空のお店です。実在しません。),G009,アジア・エスニック料理,B001,1501～2000円,昼750円／夜850円,,ひとりで気軽に食事 広々ときれいな店内,65,ＪＲ大阪環状線「福島駅」より徒歩3分、ＪＲ東西線「新福島駅」より徒歩5分、阪神本線「福島駅」より徒歩5分 ,JR各線福島駅徒歩3分、JR東西線新福島駅徒歩5分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_18.jpeg,,月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,無休※元旦のみ休み,,あり,,なし,なし,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,なし ：近隣にコインパーキングはございます。,なし ：申し訳ございません。ご用意がありません。,,,,なし,,なし,不可,なし,なし,可,お子様連れ歓迎,あり,営業している,,,,中国料理レストラン 柴田ちゅうごくりょうりれすとらん しばたチュウゴクリョウリレストラン シバタ大阪府大阪市福島区福島７−２−２福島福島・野田中華(架空のお店です。実在しません。)ラーメン
TempShop_19,中華バル 西村,,ちゅうかばる にしむら,大阪府箕面市百楽荘３−８−１,牧落,0,SS20,関西,SA23,大阪,Z023,大阪,Y998,箕面・池田,XEKI,桜井駅,34.8180638219,135.4666081942,G007,中華,中華レストラン(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,800円(通常平均) ,お通し代：なし,こだわり餃子220円(税抜) 名物！焼めし400円(税抜),78,阪急箕面線桜井駅出口より徒歩約9分,桜井駅出口より徒歩約9分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_19.jpeg,,月～日、祝日、祝前日: 11:15～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,なし,,なし,,なし,なし,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,あり,なし,,,,なし,,なし,不可,なし,なし,不可,お子様連れOK,あり,営業していない,,,,中華バル 西村ちゅうかばる にしむらチュウカバル ニシムラ大阪府箕面市百楽荘３−８−１牧落箕面・池田中華レストラン(架空のお店です。実在しません。)中華
TempShop_20,中華 小野,,ちゅうか おの,大阪府大阪市東成区東小橋１−１−２１,玉造,0,SS20,関西,SA23,大阪,Z023,大阪,Y326,上本町・鶴橋,XEJ2,玉造,34.6705157999,135.5346541686,G013,ラーメン,ラーメン　まぜそば　餃子　中華　新天地　(架空のお店です。実在しません。),G007,中華,B010,501～1000円,昼1000円／夜1000円,当店は券売機制となっております。,究極の特濃鶏白湯ラーメン カウンター席あり,13,玉造駅から徒歩6分,玉造駅から徒歩6分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_20.jpeg,,月～木: 11:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）金、土、祝前日: 11:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）日、祝日: 11:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,※年末年始、連休時は店舗にお問合せください,,あり,,あり,なし,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,なし ：近くに有料パーキングあり。,なし ：バリアフリーのご用意はございません。お手伝いいたしますので、お気軽にご相談ください☆,,,,なし,,なし,不可,なし,あり,不可,お子様連れOK,あり,営業していない,,,,中華 小野ちゅうか おのチュウカ オノ大阪府大阪市東成区東小橋１−１−２１玉造上本町・鶴橋ラーメン　まぜそば　餃子　中華　新天地　(架空のお店です。実在しません。)ラーメン
TempShop_21,酒家 内田,,しゅか うちだ,大阪府大阪市北区大深町３−１１,大阪,0,SS20,関西,SA23,大阪,Z023,大阪,Y300,梅田,XEMB,グランフロント・大阪駅北側,34.704328256,135.494804022,G007,中華,中華ダイニング(架空のお店です。実在しません。),G007,中華,B002,2001～3000円,2500円（通常）/3500円（宴会）/800円（ランチ）,,人気の一品 定番の中華料理,46,JR大阪駅徒歩1分阪急梅田駅徒歩3分地下鉄御堂筋線梅田駅 北口徒歩3分,JR大阪駅より徒歩1分 グランフロント南館7F,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_21.jpeg,,月～日、祝日、祝前日: 11:30～14:00 （料理L.O. 14:00）17:30～21:00 （料理L.O. 21:00）,基本第1、第3月曜日定休日　月によって変動あり,80,なし,,なし,あり,なし ：【イベント時には食べ放題あり】,なし,なし,なし,利用可,全面禁煙,貸切不可,,あり ：地下に有料駐車場がございます,なし ：グランフロント内のエレベーターをご利用下さい,,,,なし,,なし,不可,なし,なし,不可,お子様連れOK,あり,営業していない,,,,酒家 内田しゅか うちだシュカ ウチダ大阪府大阪市北区大深町３−１１大阪梅田中華ダイニング(架空のお店です。実在しません。)中華
